model_name,feature,source,available_for_live_paper,uses_label_market_bucket
market_nw_kill_momentum_logistic,logit_market_price,derived_side_features,True,False
market_nw_kill_momentum_logistic,book_spread,raw_live_side_snapshot,True,False
market_nw_kill_momentum_logistic,book_ask_size_log,derived_side_features,True,False
market_nw_kill_momentum_logistic,book_age_s,derived_side_features,True,False
market_nw_kill_momentum_logistic,game_time_sec,raw_live_side_snapshot,True,False
market_nw_kill_momentum_logistic,side_mom_100,derived_side_features,True,False
market_nw_kill_momentum_logistic,side_mom_300,derived_side_features,True,False
market_nw_kill_momentum_logistic,side_kill_mom,derived_side_features,True,False
market_momentum_logistic,logit_market_price,derived_side_features,True,False
market_momentum_logistic,book_spread,raw_live_side_snapshot,True,False
market_momentum_logistic,book_ask_size_log,derived_side_features,True,False
market_momentum_logistic,book_age_s,derived_side_features,True,False
market_momentum_logistic,game_time_sec,raw_live_side_snapshot,True,False
market_momentum_logistic,side_mom_100,derived_side_features,True,False
market_momentum_logistic,side_mom_300,derived_side_features,True,False
market_gettoplive_logistic,logit_market_price,derived_side_features,True,False
market_gettoplive_logistic,book_spread,raw_live_side_snapshot,True,False
market_gettoplive_logistic,book_ask_size_log,derived_side_features,True,False
market_gettoplive_logistic,book_age_s,derived_side_features,True,False
market_gettoplive_logistic,game_time_sec,raw_live_side_snapshot,True,False
market_gettoplive_logistic,side_nw,derived_side_features,True,False
market_gettoplive_logistic,side_mom_100,derived_side_features,True,False
market_gettoplive_logistic,side_mom_300,derived_side_features,True,False
market_gettoplive_logistic,side_score,derived_side_features,True,False
market_gettoplive_logistic,total_kills,derived_side_features,True,False
market_gettoplive_logistic,side_tower,derived_side_features,True,False
market_gettoplive_logistic,side_rax,derived_side_features,True,False
market_gettoplive_logistic,structure_score,derived_side_features,True,False
market_nw_logistic,logit_market_price,derived_side_features,True,False
market_nw_logistic,book_spread,raw_live_side_snapshot,True,False
market_nw_logistic,book_ask_size_log,derived_side_features,True,False
market_nw_logistic,book_age_s,derived_side_features,True,False
market_nw_logistic,game_time_sec,raw_live_side_snapshot,True,False
market_nw_logistic,side_nw,derived_side_features,True,False
market_score_logistic,logit_market_price,derived_side_features,True,False
market_score_logistic,book_spread,raw_live_side_snapshot,True,False
market_score_logistic,book_ask_size_log,derived_side_features,True,False
market_score_logistic,book_age_s,derived_side_features,True,False
market_score_logistic,game_time_sec,raw_live_side_snapshot,True,False
market_score_logistic,side_score,derived_side_features,True,False
market_score_logistic,total_kills,derived_side_features,True,False
market_transition_kill_logistic,logit_market_price,derived_side_features,True,False
